iter	Passed	Remaining
0	161	161111
1	169	84545
2	176	58793
3	184	45975
4	191	38194
5	198	32866
6	206	29320
7	213	26480
8	220	24312
9	227	22546
10	234	21063
11	241	19847
12	249	18913
13	256	18046
14	263	17305
15	270	16636
16	276	15985
17	282	15421
18	289	14954
19	297	14563
20	304	14214
21	312	13907
22	319	13587
23	327	13298
24	334	13038
25	340	12757
26	346	12503
27	354	12291
28	360	12070
29	368	11902
30	374	11714
31	382	11560
32	389	11406
33	397	11279
34	404	11148
35	411	11019
36	419	10906
37	426	10790
38	432	10663
39	440	10567
40	447	10473
41	454	10376
42	461	10279
43	469	10201
44	476	10103
45	483	10019
46	490	9950
47	498	9879
48	505	9811
49	513	9754
50	520	9690
51	528	9641
52	537	9597
53	545	9550
54	553	9512
55	560	9455
56	568	9411
57	578	9393
58	586	9346
59	593	9304
60	600	9249
61	608	9207
62	614	9145
63	621	9096
64	629	9053
65	637	9014
66	644	8976
67	654	8965
68	663	8952
69	671	8916
70	679	8893
71	687	8859
72	694	8821
73	703	8799
74	710	8757
75	717	8725
76	724	8690
77	732	8658
78	741	8640
79	747	8601
80	755	8576
81	764	8554
82	773	8540
83	782	8535
84	793	8538
85	803	8540
86	813	8532
87	823	8531
88	832	8518
89	842	8515
90	852	8519
91	865	8540
92	878	8564
93	891	8592
94	903	8609
95	915	8621
96	938	8732
97	950	8744
98	961	8746
99	975	8779
100	987	8789
101	997	8785
102	1008	8783
103	1021	8804
104	1032	8803
105	1043	8801
106	1054	8796
107	1062	8777
108	1072	8770
109	1083	8768
110	1095	8770
111	1106	8774
112	1116	8761
113	1125	8743
114	1137	8753
115	1147	8743
116	1155	8721
117	1164	8704
118	1173	8685
119	1182	8674
120	1192	8659
121	1201	8644
122	1213	8649
123	1223	8642
124	1232	8630
125	1240	8604
126	1249	8590
127	1257	8568
128	1267	8558
129	1276	8543
130	1286	8534
131	1298	8535
132	1306	8519
133	1317	8512
134	1325	8495
135	1334	8480
136	1344	8468
137	1352	8448
138	1364	8454
139	1373	8439
140	1382	8422
141	1392	8413
142	1402	8407
143	1413	8401
144	1424	8397
145	1433	8383
146	1443	8375
147	1452	8364
148	1462	8351
149	1470	8334
150	1480	8321
151	1489	8311
152	1499	8301
153	1508	8288
154	1517	8273
155	1527	8263
156	1537	8254
157	1550	8261
158	1559	8246
159	1567	8230
160	1576	8217
161	1586	8205
162	1595	8193
163	1605	8186
164	1614	8169
165	1623	8156
166	1632	8142
167	1641	8130
168	1651	8120
169	1659	8104
170	1669	8093
171	1677	8077
172	1687	8068
173	1696	8054
174	1705	8041
175	1714	8027
176	1724	8019
177	1734	8007
178	1743	7997
179	1753	7989
180	1763	7979
181	1772	7967
182	1781	7955
183	1791	7942
184	1801	7934
185	1810	7923
186	1819	7911
187	1829	7903
188	1839	7893
189	1849	7884
190	1858	7870
191	1867	7858
192	1876	7847
193	1888	7845
194	1899	7842
195	1908	7827
196	1917	7817
197	1928	7810
198	1936	7795
199	1944	7778
200	1953	7766
201	1962	7752
202	1971	7738
203	1978	7719
204	1986	7703
205	1994	7688
206	2002	7670
207	2010	7654
208	2018	7638
209	2027	7627
210	2034	7608
211	2043	7594
212	2051	7578
213	2060	7567
214	2067	7549
215	2078	7543
216	2086	7526
217	2095	7515
218	2103	7501
219	2111	7486
220	2120	7473
221	2128	7460
222	2136	7443
223	2144	7428
224	2152	7415
225	2162	7405
226	2171	7395
227	2178	7377
228	2187	7365
229	2196	7353
230	2204	7338
231	2212	7323
232	2220	7309
233	2229	7297
234	2237	7282
235	2246	7271
236	2254	7258
237	2261	7241
238	2271	7233
239	2279	7219
240	2289	7210
241	2297	7195
242	2306	7184
243	2314	7172
244	2324	7161
245	2334	7154
246	2344	7147
247	2353	7137
248	2361	7122
249	2371	7115
250	2380	7103
251	2388	7090
252	2397	7077
253	2405	7064
254	2412	7049
255	2421	7036
256	2429	7025
257	2438	7013
258	2445	6997
259	2456	6992
260	2465	6980
261	2472	6965
262	2479	6949
263	2487	6935
264	2494	6919
265	2503	6907
266	2511	6894
267	2519	6881
268	2526	6866
269	2533	6850
270	2542	6839
271	2550	6827
272	2558	6812
273	2567	6802
274	2576	6792
275	2585	6782
276	2593	6770
277	2601	6756
278	2610	6745
279	2617	6731
280	2630	6729
281	2637	6716
282	2647	6707
283	2655	6695
284	2664	6683
285	2673	6674
286	2683	6666
287	2691	6653
288	2699	6641
289	2706	6626
290	2717	6620
291	2726	6611
292	2736	6602
293	2748	6599
294	2758	6592
295	2767	6581
296	2775	6569
297	2782	6555
298	2790	6542
299	2798	6529
300	2806	6516
301	2813	6502
302	2821	6490
303	2831	6483
304	2840	6473
305	2856	6478
306	2863	6463
307	2871	6450
308	2878	6438
309	2886	6424
310	2893	6410
311	2900	6396
312	2907	6382
313	2914	6366
314	2922	6354
315	2930	6343
316	2938	6330
317	2945	6317
318	2953	6305
319	2960	6291
320	2968	6279
321	2976	6268
322	2985	6256
323	2992	6242
324	2999	6229
325	3007	6217
326	3013	6202
327	3021	6190
328	3029	6178
329	3038	6169
330	3045	6156
331	3052	6142
332	3059	6128
333	3067	6116
334	3074	6103
335	3082	6091
336	3089	6078
337	3097	6066
338	3104	6054
339	3111	6040
340	3119	6028
341	3126	6014
342	3133	6002
343	3141	5991
344	3150	5980
345	3158	5969
346	3166	5958
347	3174	5947
348	3182	5937
349	3190	5925
350	3199	5916
